OBJECTID,PERMITNUMBER,PROJECTID,NAME,CONTACT,PERMITGROUP,PERMITSTATUS,StatusDate,EXPDATE,Latitude,Longitude,PDF_LINK
2751,8138-9040.AR,,Town of Waitsfield MRGP,Jim Ryan,Operational,Issued,1677077040000,1832371200000,44.193087,-72.821993,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8138-9040.AR.pdf
2752,8188-9040.AR,,Town of Pittsfield MRGP,Jim Ryan,Operational,Issued,1677077580000,1832371200000,43.770642,-72.812383,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8188-9040.AR.pdf
2753,4583-9003.1,,Lussier's Sawmill,Ashley Carver,Industrial - NOI,Issued,1695978480000,1470268800000,44.96486,-72.78402,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/4583-9003.1.pdf
2754,4865-9050,EJ02-0007,Fern Court Subdivision,Michael Sadler,Operational,Issued,1678111020000,1835827200000,44.535583,-73.240746,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/4865-9050.pdf
2755,8216-9040.AR,,Town of Chelsea MRGP,Jim Ryan,Operational,Issued,1678456020000,1832371200000,43.989068,-72.44773,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8216-9040.AR.pdf
2756,8096-9040.AR,,Town of Windham MRGP ,Jim Ryan,Operational,Issued,1679398020000,1832371200000,43.166218,-72.725525,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8096-9040.AR.pdf
2757,7980-9040.R,,Town of Waterford MRGP,Jim Ryan,Operational,Issued,1691583780000,1832371200000,44.354362,-71.907724,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/7980-9040.R.pdf
2758,8097-9040.AR,,Town of Hyde Park MRGP,Jim Ryan,Operational,Issued,1677151500000,1832371200000,44.592528,-72.614841,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8097-9040.AR.pdf
2759,8193-9040.AR,,Town of Pawlet MRGP,Jim Ryan,Operational,Issued,1677152220000,1832371200000,43.345661,-73.17889,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8193-9040.AR.pdf
2760,8149-9040.AR,,Town of Calais MRGP,Jim Ryan,Operational,Issued,1678886580000,1832371200000,44.371264,-72.466523,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8149-9040.AR.pdf
2761,3256-9050,NS86-0033,Sunrise Valley Sunrise Settlement,Ashley Preston,Operational,Issued,1682949000000,1840665600000,43.639569,-72.423485,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/3256-9050.pdf
2762,4107-9050,EJ00-0213,Lacasse Subdivision,Aaron Ferraro,Operational,Issued,1680706500000,1838419200000,44.432265,-73.123319,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/4107-9050.pdf
2763,8042-9040.R,,Town of Barre MRGP,Jim Ryan,Operational,Issued,1678369860000,1832371200000,44.168423,-72.477288,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8042-9040.R.pdf
2764,6548-9050,EJ95-0376.09,Essex Mini Storage,Michael Sadler,Operational,Issued,1678800240000,1836518400000,44.509781,-73.135171,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/6548-9050.pdf
2765,8696-9050.1A,,Bell-Atlantic-Verizon,Aaron Ferraro,Operational,Issued,1678457820000,1836172800000,44.446028,-73.15497,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8696-9050.1A.pdf
2766,4866-9050,RU07-0060,Blue Seal Feeds,Terry Purcell,Operational,Issued,1685633100000,1843344000000,43.776402,-73.055867,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/4866-9050.pdf
2767,7995-9040.AR,,Town of Starksboro MRGP,Jim Ryan,Operational,Issued,1678372200000,1832371200000,44.225506,-73.057297,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/7995-9040.AR.pdf
2768,8005-9040.AR,,Town of Barton MRGP,Jim Ryan,Operational,Issued,1677150600000,1832371200000,44.746357,-72.174723,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8005-9040.AR.pdf
2769,8162-9040.AR,,Town of Orange MRGP,Jim Ryan,Operational,Issued,1677151920000,1832371200000,44.148013,-72.401224,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8162-9040.AR.pdf
2770,8217-9040.AR,,Town of Manchester MRGP,Jim Ryan,Operational,Issued,1681291680000,1832371200000,43.163687,-73.072327,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8217-9040.AR.pdf
2771,6010-9050.A,BR96-0163,U-32 School,Ashley Preston,Operational,Issued,1684162020000,1841875200000,44.244393,-72.526623,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/6010-9050.A.pdf
2772,8198-9040.AR,,Town of Hartford MRGP,Jim Ryan,Operational,Issued,1677846480000,1832371200000,43.650927,-72.317161,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8198-9040.AR.pdf
2773,9268-9050.A,,Coolbeth Subdivision,Michael Sadler,Operational,Issued,1682954460000,1840665600000,44.716359,-73.206251,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/9268-9050.A.pdf
2774,3929-9050.5,BR94-0005,Stowe Mountain Resort,Ashley Preston,Operational,Issued,1694087220000,1741219200000,44.528993,-72.778031,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/3929-9050.5.pdf
2775,9565-9050,,1652 Mountain Road,Terry Purcell,Operational,Issued,1683200880000,1840924800000,44.473877,-72.708497,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/9565-9050.pdf
2776,4076-9050,RU98-0086,Friends of the Sun,Drew Shatzer,Operational,Issued,1721302800000,1878940800000,43.049729,-73.129465,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/4076-9050.pdf
2777,5274-9050,EJ01-0251,Chatham Woods,Aaron Ferraro,Operational,Issued,1682609460000,1840320000000,44.448772,-73.064526,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/5274-9050.pdf
2778,5603-9050,EJ07-0183,Williams Property,Aaron Ferraro,Operational,Issued,1680534000000,1838246400000,44.420833,-73.1725,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/5603-9050.pdf
2779,3343-9050.1,BR93-0014,Mad River Commercial Park,Ashley Carver,Operational,Issued,1682686080000,1729987200000,44.2274,-72.792322,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/3343-9050.1.pdf
2780,6727-9050.1,EJ96-0019,Highland Industrial Park,Aaron Ferraro,Operational,Issued,1682335260000,1840060800000,44.5008,-73.18561,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/6727-9050.1.pdf
2781,9564-9050,,Gutema Subdivision,Michael Sadler,Operational,Issued,1683303120000,1841011200000,44.529039,-73.072281,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/9564-9050.pdf
2782,5868-9050.1,EJ08-0284,MHS Bus Loop Waterline & Woodchip Building,Terry Purcell,Operational,Issued,1742896080000,1900540800000,44.62884,-73.119249,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/5868-9050.1.pdf
2783,4025-9050,RU96-0176,Lots A & B Rutland Industrial Park,Terry Purcell,Operational,Issued,1688655960000,1846368000000,43.529068,-72.957178,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/4025-9050.pdf
2784,3203-9050,EJ96-0754,Gardenside,Ashley Carver,Operational,Issued,1682607420000,1729900800000,44.383387,-73.218092,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/3203-9050.pdf
