ESITEID,PRIMARYADDRESS,TOWNNAME,PARCELNUM,UNITCOUNT,YEARBUILT,SITETYPE,GPSX,GPSY,ParcelCategory,SOURCEOFDATA
454288,306 OLD STAGE RD,ESSEX TOWN,2014057001.,1,2015,DEVELOPMENT SITE,-73.07081678416075,44.551557319881915,M,Vermont Enhanced 911 Board
453778,953 WESTSIDE LAKE RD,MAIDSTONE,06-097-008.000,1,2014,DEVELOPMENT SITE,-71.65301423158758,44.65536534308326,M,Vermont Enhanced 911 Board
454899,160 BEAR RIDGE RD,BURKE,06020029.000,1,2015,DEVELOPMENT SITE,-71.9629981207212,44.61043603493657,M,Vermont Enhanced 911 Board
455146,1929 WEST RD,BENNINGTON,47501890-,1,2015,DEVELOPMENT SITE,-73.24747494049727,42.878182376184526,C,Vermont Enhanced 911 Board
612179,79 CHURCHILL ST,SOUTH BURLINGTON,0384-00079.,1,2016,DEVELOPMENT SITE,-73.19227778168826,44.42404859865981,R1,Vermont Enhanced 911 Board
758207,181 CALDO LN,MILTON,216037.000000,1,2020,DEVELOPMENT SITE,-73.05259814081407,44.639739280399034,R2,Vermont Enhanced 911 Board
757260,145 CALDO LN,MILTON,216037.003000,1,2019,DEVELOPMENT SITE,-73.05157128671723,44.63963511532526,M,Vermont Enhanced 911 Board
760603,9 ELOISE LN,STOWE,12006-,1,2021,DEVELOPMENT SITE,-72.6822690611606,44.456684057159514,M,Vermont Enhanced 911 Board
765785,60 LEARNED HILL DR,CAMBRIDGE,0010038-02.000,1,2023,DEVELOPMENT SITE,-72.85685280905072,44.670154932878994,M,Vermont Enhanced 911 Board
158209,83 SOUTH ST,MIDDLETOWN SPRINGS,TH02-115-L00,1,2003,DEVELOPMENT SITE,-73.11871944569464,43.47910827661825,R1,Vermont Enhanced 911 Board
453755,38 GARDEN LN,BENNINGTON,55506901-,1,2014,DEVELOPMENT SITE,-73.2071323157017,42.867645897214466,M,Vermont Enhanced 911 Board
274589,1150 PERRY HILL RD,WATERBURY,400-1150.,1,1998,DEVELOPMENT SITE,-72.72369900200701,44.3432652525502,R1,Vermont Enhanced 911 Board
764738,434 REED RD,FAIRFIELD,004-0774.000,1,2022,DEVELOPMENT SITE,-72.9563925825468,44.86038305690966,M,Vermont Enhanced 911 Board
764735,411 REED RD,FAIRFIELD,004-0774.000,1,2022,DEVELOPMENT SITE,-72.95832375928495,44.86117294291858,R2,Vermont Enhanced 911 Board
760790,151 SUGAR LOT LN,JAMAICA,00S-25.9.7,1,2021,DEVELOPMENT SITE,-72.74106185456611,43.086368758140075,S2,Vermont Enhanced 911 Board
271777,138 FAIRVIEW RD,WARREN,012000-7,1,1998,DEVELOPMENT SITE,-72.80477075464704,44.12187806912748,M,Vermont Enhanced 911 Board
180151,27 FIRST ST,NORTHFIELD,016116000.,1,1998,DEVELOPMENT SITE,-72.65246582016327,44.1675567627494,MHU,Vermont Enhanced 911 Board
760791,122 BLACKBERRY LN,JAMAICA,00G-11.2,1,2021,DEVELOPMENT SITE,-72.81580855330331,43.12705767832465,M,Vermont Enhanced 911 Board
11553,180 WINDY WOOD RD,BARRE TOWN,009/114.00,1,1998,DEVELOPMENT SITE,-72.47561645447468,44.20362472669619,M,Vermont Enhanced 911 Board
452502,531 BREEZY HILL ACRES,MONKTON,04.102.030.012,1,2014,DEVELOPMENT SITE,-73.18228943361922,44.24964897542092,R1,Vermont Enhanced 911 Board
329604,66 MEADOW LN,ROYALTON,S--866~,1,1998,DEVELOPMENT SITE,-72.56272989581925,43.816992905899546,R1,Vermont Enhanced 911 Board
750978,518 CUMMINGS RD,BARRE TOWN,009/147.02,1,2016,DEVELOPMENT SITE,-72.46155370777032,44.22369187835308,M,Vermont Enhanced 911 Board
302261,356 BIRCH RD,WOODFORD,000025.,1,1998,DEVELOPMENT SITE,-73.06722277291786,42.893528605362285,S1,Vermont Enhanced 911 Board
175164,2 PICKLE HILL RD,NEWFANE,00D155.1,1,1998,DEVELOPMENT SITE,-72.65900144823878,42.97781882933356,R1,Vermont Enhanced 911 Board
300515,401 MAIN ST,WINOOSKI,MA401-,1,1998,DEVELOPMENT SITE,-73.18278529455199,44.50086569849228,C,Vermont Enhanced 911 Board
754232,293 MOOSE RUN,UNDERHILL,MO293-,1,2018,DEVELOPMENT SITE,-72.86884107561102,44.534160440205625,M,Vermont Enhanced 911 Board
759112,510 US ROUTE 4 E,RUTLAND TOWN,00057-0510-,1,2020,DEVELOPMENT SITE,-72.94754601906308,43.62505083357315,M,Vermont Enhanced 911 Board
3,1212 CHAPEL RD,BENNINGTON,31500301-,1,2016,DEVELOPMENT SITE,-73.18032784060132,42.906716478250786,M,Vermont Enhanced 911 Board
58479,41 CIRCLING HAWK DR,CAMBRIDGE,0057001-00.000,1,1998,DEVELOPMENT SITE,-72.89932060671359,44.62132895635572,M,Vermont Enhanced 911 Board
223207,245 NORTHSIDE DR,SHELBURNE,084-0245,1,2005,DEVELOPMENT SITE,-73.21044716002244,44.40862767959544,M,Vermont Enhanced 911 Board
750090,1319 VAIL RD,BENNINGTON,04014105-,1,2015,DEVELOPMENT SITE,-73.2475113142957,42.89822701598332,M,Vermont Enhanced 911 Board
452551,265 STEWART RD N,MOUNT HOLLY,07F1120.00,1,2014,DEVELOPMENT SITE,-72.79895046387291,43.44751559757121,M,Vermont Enhanced 911 Board
16686,821 SILK RD,BENNINGTON,28502100-,1,1998,DEVELOPMENT SITE,-73.22392495503955,42.9035896005471,M,Vermont Enhanced 911 Board
6,1366 CHAPEL RD,BENNINGTON,31500100-,1,2016,DEVELOPMENT SITE,-73.17987381901229,42.9091786048023,W,Vermont Enhanced 911 Board
4,1236 CHAPEL RD,BENNINGTON,31500101-,1,2016,DEVELOPMENT SITE,-73.18041439415067,42.90710316387903,W,Vermont Enhanced 911 Board
5,1288 CHAPEL RD,BENNINGTON,31500200-,1,2016,DEVELOPMENT SITE,-73.18040625183913,42.90785946171632,W,Vermont Enhanced 911 Board
339001,43 TANGLEWOOD DR,ESSEX TOWN,2044045000.,1,2010,DEVELOPMENT SITE,-73.06372943671664,44.502206225538906,M,Vermont Enhanced 911 Board
105897,775 BALD TOP RD,FAIRLEE,0222002.000,1,2003,DEVELOPMENT SITE,-72.16645590900458,43.919939687620364,M,Vermont Enhanced 911 Board
101046,79 CASCADE ST,ESSEX JUNCTION CITY,1001004002.,1,1998,DEVELOPMENT SITE,-73.13036471718006,44.480351838834885,M,Vermont Enhanced 911 Board
77061,520 BEACH DR,CONCORD,24.0200520,1,1998,DEVELOPMENT SITE,-71.795707534601,44.447260100939786,R1,Vermont Enhanced 911 Board
99440,2 FRANKLIN ST,ESSEX JUNCTION CITY,1021046000.,1,1998,DEVELOPMENT SITE,-73.11194697708827,44.48736253026638,R1,Vermont Enhanced 911 Board
340780,67 BURGESS WAY,BRATTLEBORO,00265006.200,1,2010,DEVELOPMENT SITE,-72.57561038869127,42.855713244429474,M,Vermont Enhanced 911 Board
318157,9 MARGIT RIDGWAY RD,DOVER,SR004-R,1,1998,DEVELOPMENT SITE,-72.87779394119826,42.94852004446085,M,Vermont Enhanced 911 Board
336833,3 AUSTIN DR,SWANTON,AU0003-0018,1,2009,DEVELOPMENT SITE,-73.07604168342688,44.86066716854586,MHL,Vermont Enhanced 911 Board
95406,36 SLEEPY HOLLOW RD,ESSEX TOWN,2008021014.,1,1998,DEVELOPMENT SITE,-73.0184348012607,44.51330563942958,M,Vermont Enhanced 911 Board
312186,199 CROSS RD,BARTON,040310199-,1,1998,DEVELOPMENT SITE,-72.18399665849343,44.78020664795357,M,Vermont Enhanced 911 Board
15735,1192 CHAMBERLIN RD,BARTON,040201192-,1,1998,DEVELOPMENT SITE,-72.1481060556191,44.78325846299942,W,Vermont Enhanced 911 Board
316819,365 HIGH MEADOW RD,BURKE,07BS0005.000,1,1998,DEVELOPMENT SITE,-71.91149874218718,44.588513692399495,M,Vermont Enhanced 911 Board
337729,982 BULLOCK RD,GEORGIA,101410200.,1,2009,DEVELOPMENT SITE,-73.19306593709001,44.71776325210867,M,Vermont Enhanced 911 Board
335038,1 MEADOW VIEW DR,SAINT ALBANS TOWN,000000SA00-340A,1,1998,DEVELOPMENT SITE,-73.16282556835215,44.80446583078982,R1,Vermont Enhanced 911 Board
331728,29 COTTAGE ST,SHELDON,MAP-MA655.,1,2008,DEVELOPMENT SITE,-72.97558362425784,44.88248978269305,R1,Vermont Enhanced 911 Board
329618,40 LOWER THAYER DR,WALDEN,10-21.7,1,1998,DEVELOPMENT SITE,-72.2930520167283,44.47594500462387,M,Vermont Enhanced 911 Board
338903,1796 PLAINS RD,GEORGIA,104430500.,1,2010,DEVELOPMENT SITE,-73.15002852298002,44.723359915033825,M,Vermont Enhanced 911 Board
