ESITEID,TOWNNAME,COUNTY,RPC,SITETYPE,Sitetype_General,UNITCOUNT,YEARBUILT,AFFORDABLE,GPSX,GPSY,PRIMARYADDRESS,ZIP,SOURCEOFDATA,CHANGE
771538,ANDOVER,WINDSOR,Mount Ascutney RC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.71105928066453,43.31632906559211,3263 E HILL RD,05149,Vermont Enhanced 911 Board,
646639,BARRE TOWN,WASHINGTON,Central Vermont RPC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.53605812525464,44.16125421253327,47 WEST RD,05641,Vermont Enhanced 911 Board,
646572,BARNET,CALEDONIA,Northeastern Vermont Dev. Assoc.,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.10263597517715,44.29349962236543,2676 GARLAND HL,05821,Vermont Enhanced 911 Board,
771811,CHESTER,WINDSOR,Mount Ascutney RC,CAMP,OTHER RESIDENTIAL,1,2025,UNKNOWN,-72.60907902536826,43.319458495825344,2985 VT ROUTE 103 N,05143,Vermont Enhanced 911 Board,
646607,WILLIAMSTOWN,ORANGE,Central Vermont RPC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.60869844614172,44.103682443077844,0 EMZAGA DR,05679,Vermont Enhanced 911 Board,
646514,CHESTER,WINDSOR,Mount Ascutney RC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.572345551814,43.245471247298546,163 REMINGTON RD,05143,Vermont Enhanced 911 Board,
771736,SUTTON,CALEDONIA,Northeastern Vermont Dev. Assoc.,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-71.99200346766104,44.68843115933381,237 ROCKY RD,05871,Vermont Enhanced 911 Board,
771470,WINDHAM,WINDHAM,Windham RC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.7117159611054,43.14142456027732,445 WHEELER RD,05359,Vermont Enhanced 911 Board,
646643,SALISBURY,ADDISON,Addison County RPC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-73.08141563178789,43.92526423860999,0 LAKE DUNMORE RD,05769,Vermont Enhanced 911 Board,
771461,ANDOVER,WINDSOR,Mount Ascutney RC,OTHER RESIDENTIAL,OTHER RESIDENTIAL,1,2025,UNKNOWN,-72.70756467359561,43.24958283866745,752 HOWARD HILL RD,05143,Vermont Enhanced 911 Board,
771956,ALBANY,ORLEANS,Northeastern Vermont Dev. Assoc.,MOBILE HOME,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.3756230408324,44.73511172559784,483 MAIN ST,05820,Vermont Enhanced 911 Board,
771554,ROCKINGHAM,WINDHAM,Windham RC,OTHER RESIDENTIAL,OTHER RESIDENTIAL,1,2025,UNKNOWN,-72.49036442880328,43.15331542133487,121 PARADISE HILL RD,05101,Vermont Enhanced 911 Board,
771462,ANDOVER,WINDSOR,Mount Ascutney RC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.70822441493223,43.24943392202939,754 HOWARD HILL RD,05143,Vermont Enhanced 911 Board,
646566,CABOT,WASHINGTON,Central Vermont RPC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.30237404492674,44.40401099390214,0 GARDEN WAY,05647,Vermont Enhanced 911 Board,
771626,THETFORD,ORANGE,Two Rivers-Ottauquechee RC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.21310815811869,43.79954323855124,0 QUAIL JOHN RD,05043,Vermont Enhanced 911 Board,
771927,SWANTON,FRANKLIN,Northwest RPC,CAMP,OTHER RESIDENTIAL,1,2025,UNKNOWN,-73.21428381541288,44.92644809424299,26 LAKEWOOD CAMPGROUND FIFTH ST,05488,Vermont Enhanced 911 Board,
771935,SWANTON,FRANKLIN,Northwest RPC,CAMP,OTHER RESIDENTIAL,1,2025,UNKNOWN,-73.21251259119629,44.931253943440176,125 A LAKEWOOD CAMPGROUND MAIN ST,05488,Vermont Enhanced 911 Board,
771747,MENDON,RUTLAND,Rutland Regional PC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.92346104152807,43.649271307540054,416 OLD STOCKBRIDGE PATH,05701,Vermont Enhanced 911 Board,
771933,SWANTON,FRANKLIN,Northwest RPC,CAMP,OTHER RESIDENTIAL,1,2025,UNKNOWN,-73.21260382555755,44.9305286433074,142 LAKEWOOD CAMPGROUND MAIN ST,05488,Vermont Enhanced 911 Board,
646516,FAIRFAX,FRANKLIN,Northwest RPC,OTHER RESIDENTIAL,OTHER RESIDENTIAL,1,2025,UNKNOWN,-73.01841810511492,44.71864638582174,218 ROOD MILL RD,05454,Vermont Enhanced 911 Board,
365671,JAY,ORLEANS,Northeastern Vermont Dev. Assoc.,CAMP,OTHER RESIDENTIAL,1,2025,UNKNOWN,-72.45863718556213,45.003670635570806,700 JOURNEYS END RD,05859,Vermont Enhanced 911 Board,
771751,CAMBRIDGE,LAMOILLE,Lamoille County PC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.77716326407956,44.60245034704213,319 SWEENEY LN,05464,Vermont Enhanced 911 Board,
771781,ALBURGH,GRAND ISLE,Northwest RPC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-73.30544858194958,44.86724863912612,1665 PALMERS SAND BEACH RD,05440,Vermont Enhanced 911 Board,
771681,ROYALTON,WINDSOR,Two Rivers-Ottauquechee RC,CAMP,OTHER RESIDENTIAL,1,2025,UNKNOWN,-72.61280900361913,43.82055899407766,0 GILMAN RD,05032,Vermont Enhanced 911 Board,
365670,WALDEN,CALEDONIA,Northeastern Vermont Dev. Assoc.,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.21239309979111,44.45273412954458,0 CAHOON FARM RD,05873,Vermont Enhanced 911 Board,
771926,SWANTON,FRANKLIN,Northwest RPC,CAMP,OTHER RESIDENTIAL,1,2025,UNKNOWN,-73.21422614067001,44.926555498827156,25 LAKEWOOD CAMPGROUND FIFTH ST,05488,Vermont Enhanced 911 Board,
771741,DERBY,ORLEANS,Northeastern Vermont Dev. Assoc.,CAMP,OTHER RESIDENTIAL,1,2025,UNKNOWN,-72.11676541413954,44.93362816227391,0 VT ROUTE 105,05829,Vermont Enhanced 911 Board,
771931,SWANTON,FRANKLIN,Northwest RPC,CAMP,OTHER RESIDENTIAL,1,2025,UNKNOWN,-73.21327728153267,44.92891394331284,156 LAKEWOOD CAMPGROUND MAIN ST,05488,Vermont Enhanced 911 Board,
771929,SWANTON,FRANKLIN,Northwest RPC,CAMP,OTHER RESIDENTIAL,1,2025,UNKNOWN,-73.21307860259998,44.928441056613785,148 LAKEWOOD CAMPGROUND MAIN ST,05488,Vermont Enhanced 911 Board,
771915,NORWICH,WINDSOR,Two Rivers-Ottauquechee RC,OTHER RESIDENTIAL,OTHER RESIDENTIAL,1,2025,UNKNOWN,-72.29999492065555,43.74783583146165,0,05055,Vermont Enhanced 911 Board,
771930,SWANTON,FRANKLIN,Northwest RPC,CAMP,OTHER RESIDENTIAL,1,2025,UNKNOWN,-73.21325267751833,44.928787869613096,151 LAKEWOOD CAMPGROUND MAIN ST,05488,Vermont Enhanced 911 Board,
771822,RUTLAND CITY,RUTLAND,Rutland Regional PC,OTHER RESIDENTIAL,OTHER RESIDENTIAL,2,2025,UNKNOWN,-72.98445367677567,43.602574147295165,73 FOREST ST,05701,Vermont Enhanced 911 Board,
